# timestamps [seconds],pts
10997.348128,1140378
10997.371321,1141898
10997.474714,1148674
10997.487532,1149514
10997.504164,1150604
10997.548872,1153534
10997.593397,1156452
10997.617048,1158002
10997.662520,1160982
10997.683638,1162366
10997.705855,1163822
10997.787947,1169202
10997.805189,1170332
10997.818159,1171182
10997.849165,1173214
10997.872572,1174748
10997.884993,1175562
10997.952681,1179997
10997.974257,1181411
10998.018141,1184287
